,TIME,ID,TYPE,VALUE,PARAM
2777,1739531371.230178,#1739530945#,receive,60,intensity
2778,1739531371.373171,#loeric_2#,receive,37,intensity
2779,1739531371.373171,#loeric_2#,send,14,intensity
2780,1739531371.373171,#loeric_2#,send,101,human_impact
2781,1739531371.4157379,#1739530945#,receive,52,intensity
2782,1739531371.5846903,#loeric_2#,receive,38,intensity
2783,1739531371.5846903,#loeric_2#,send,14,intensity
2784,1739531371.5846903,#loeric_2#,send,101,human_impact
2785,1739531371.6222882,#1739530945#,receive,46,intensity
2786,1739531371.7246478,#1739530945#,receive,44,intensity
2787,1739531372.058624,#loeric_4#,receive,48,intensity
2788,1739531372.058624,#loeric_4#,send,36,intensity
2789,1739531372.058624,#loeric_4#,send,82,human_impact
2790,1739531372.2332866,#loeric_2#,receive,34,intensity
2791,1739531372.2332866,#loeric_2#,send,14,intensity
2792,1739531372.2332866,#loeric_2#,send,101,human_impact
2793,1739531372.2986348,#1739530945#,receive,33,intensity
2794,1739531372.421956,#1739530945#,receive,31,intensity
2795,1739531372.4890537,#1739530945#,receive,30,intensity
2796,1739531372.6368637,#loeric_3#,receive,61,intensity
2797,1739531372.6368637,#loeric_3#,send,72,intensity
2798,1739531372.6368637,#loeric_3#,send,63,human_impact
2799,1739531372.8915884,#loeric_3#,receive,67,intensity
2800,1739531372.8915884,#loeric_3#,send,72,intensity
2801,1739531372.8915884,#loeric_3#,send,63,human_impact
2802,1739531372.913744,#loeric_4#,receive,44,intensity
2803,1739531372.913744,#loeric_4#,send,40,intensity
2804,1739531372.913744,#loeric_4#,send,82,human_impact
2805,1739531373.1089385,#1739530945#,receive,24,intensity
2806,1739531373.281252,#1739530945#,receive,23,intensity
2807,1739531373.5990236,#1739530945#,receive,19,intensity
2808,1739531373.7351162,#loeric_2#,receive,34,intensity
2809,1739531373.7351162,#loeric_2#,send,9,intensity
2810,1739531373.7351162,#loeric_2#,send,101,human_impact
2811,1739531373.9973245,#1739530945#,receive,17,intensity
2812,1739531374.1886725,#1739530945#,receive,18,intensity
2813,1739531374.235567,#loeric_3#,receive,73,intensity
2814,1739531374.235567,#loeric_3#,send,66,intensity
2815,1739531374.235567,#loeric_3#,send,63,human_impact
2816,1739531374.2729638,#1739530945#,receive,19,intensity
2817,1739531374.3691747,#1739530945#,receive,20,intensity
2818,1739531374.390899,#loeric_1#,receive,35,intensity
2819,1739531374.390899,#loeric_1#,send,10,intensity
2820,1739531374.390899,#loeric_1#,send,101,human_impact
2821,1739531374.7938933,#1739530945#,receive,21,intensity
2822,1739531374.8975756,#1739530945#,receive,22,intensity
